The tag-bigram has the form ti|ti-1, but it calculate P(ti−1, ti).
pn|nn-tl: 0.0001543090810894221
--|pp$: 0.0001221075767751389
ppss+hvd|vb: 9.198221677142419e-05
pps+hvd|wdt: 0.0007455731593662628
vbg|nn$-tl: 0.011299435028248588
pps+hvd|.: 0.00027178528962119923
abn|dod: 0.003988035892323031
pps+hvd|rb: 2.8333427778092593e-05
cc|ben: 0.002904564315352697
pps+hvd|nns: 3.7351062637732046e-05
vbd|hvd*: 0.010638297872340425
nn-tl|rp: 0.0008595495960116899
wps+md|--: 0.0003069367710251688
pps|do*: 0.00211864406779661
vbn|pps+bez: 0.03309692671394799
nn+bez|.: 3.3973161202649904e-05
''|dts: 0.0012836970474967907
pps|od: 0.0026925148088314485
pps+md|rb: 0.00017000056666855557
ppl|be: 0.00016246953696181965
nn$-tl|): 0.0004514672686230248
dod|vbz: 0.00013842746400885935
wdt|:: 0.010437051532941943
wpo|pps: 5.6551490131764975e-05
cc|do: 0.009316770186335404
vbn-nc|``: 0.0003528996588636631
''|vbn-nc: 0.1111111111111111
``|at-tl: 0.0013623978201634877
pn|wpo: 0.01079136690647482
vbg|): 0.006772009029345372
jjr|nns$-tl: 0.013888888888888888
nn-tl|hv: 0.00026281208935611036
np$|cd: 0.00015227653418608191
nps$|at: 0.0003053563719451201
vbg|nps$: 0.05405405405405406
vbd-hl|np-hl: 0.0020491803278688526
np-hl|cd-hl: 0.002277904328018223
in-hl|np-hl: 0.02663934426229508
.-hl|in-hl: 0.006072874493927126
nns|nps$: 0.05405405405405406
ap|rp: 0.0029224686264397457
bez*|cc: 0.0001096611470555982
dti|np: 0.0002690341673392521
nps-hl|cd-hl: 0.002277904328018223
in-hl|nps-hl: 0.125
cd|np$-tl: 0.022058823529411766
hvd|``: 0.00047053287848488413
bedz|hvd: 0.00021204410517387616
do*|': 0.0031545741324921135
'|rb: 0.00014166713889046296
rb|nn$-tl: 0.002824858757062147
wdt|dod: 0.003988035892323031
in-tl|``: 0.0014115986354546525
:|bed: 0.001585791309863622
nns$|dts: 0.0008557980316645272
nr|nns$: 0.003952569169960474
ap|np-tl: 0.0010290712631849757
nr|cd: 0.0006852444038373687
md*|wrb: 0.0020637468470534283
jj|md*: 0.0012195121951219512
nn|nps$: 0.43243243243243246
nns|hvn: 0.039473684210526314
--|in: 0.00022228111721909224
nns|ppss+ber: 0.003663003663003663
to|cd-tl: 0.007874015748031496
be|in: 4.274636869597928e-05
in-hl|cd-hl: 0.00683371298405467
np$|np-hl: 0.0020491803278688526
dt|nps: 0.003278688524590164
cd|nns-tl: 0.0028024287716020553
vb+to|ppss: 0.0001503872471614407
vb|vb+to: 1.0
rp|pp$: 6.105378838756945e-05
nn$|dti: 0.0028198801550934085
rbr|do: 0.006211180124223602
nn$|vbd: 0.00011822660098522167
vbn|nn$: 0.007697690692792162
''|hv: 0.0015768725361366622
nr-hl|.: 5.095974180397486e-05
at|nr-hl: 0.1
rp|ben: 0.0024896265560165973
vb-nc|do*: 0.00211864406779661
vb-nc|vb-nc: 0.024390243902439025
ppo|vb-nc: 0.024390243902439025
nn|ppss+bem: 0.00398406374501992
wdt+hvz|in: 8.549273739195855e-06
nr+md|rb: 2.8333427778092593e-05
be|nr+md: 1.0
ppss+ber|nns: 3.7351062637732046e-05
dod*|``: 0.0003528996588636631
abn|(: 0.001813236627379873
nn+in|at: 1.0529530067073107e-05
jj|nn+in: 1.0
bed|vb: 9.198221677142419e-05
hvd*|ppss: 0.0015790660951951275
rp|pn: 0.003667481662591687
bed|abx: 0.01828410689170183
rp|hvd: 0.0014843087362171332
``|ben: 0.0037344398340248964
np-tl|nn$: 0.0006997900629811056
in-tl|'': 0.000354735721887194
``|in-tl: 0.0020920502092050207
in-tl|fw-nn-tl: 0.025157232704402517
dts|ql: 0.00023618327822390176
nr$|,: 3.54924578527063e-05
np|do: 0.0007763975155279503
pn$|at: 1.0529530067073107e-05
cd-hl|np-hl: 0.09631147540983606
--|cd-hl: 0.0774487471526196
vb|nr-tl: 0.020338983050847456
nn$|vbn: 0.0002819880155093409
fw-nn|nn: 2.7008960222553833e-05
fw-cd|fw-in: 0.06172839506172839
vbn|fw-cd: 0.14285714285714285
vbg-tl|``: 0.0015292318550758734
fw-nn|'': 0.00023649048125812936
in|fw-cd: 0.42857142857142855
fw-at-tl|``: 0.0010586989765909893
''|fw-nn-tl: 0.06289308176100629
``|nns$: 0.003952569169960474
jj-tl|jjt: 0.0020325203252032522
''|cd-tl: 0.015748031496062992
jj-tl|jjs: 0.0084985835694051
nn-tl|--: 0.003376304481276857
ex|hvz: 0.0012536564981195152
ben|ex: 0.0014285714285714286
wps|ppl: 0.0033472803347280333
vbn-hl|nns-hl: 0.03316749585406302
in|vbn-hl: 0.044444444444444446
jjs|vb: 0.00012264295569523224
:|ap: 0.0006488590894344112
wps+bez|:: 0.0006523157208088715
at|wps+bez: 0.09523809523809523
--|rbr: 0.006938421509106678
jj|dtx: 0.04
wps|bez: 0.0002028809089064719
rp|rbr: 0.026019080659150044
(-hl|np-hl: 0.018442622950819672
jj-hl|(-hl: 0.030864197530864196
)-hl|jj-hl: 0.010309278350515464
--|)-hl: 0.10869565217391304
jj|to: 0.000346812790455712
nn-tl|wdt: 0.0033550792171481826
jj-hl|vbn-hl: 0.02962962962962963
np|jj-hl: 0.007731958762886598
pp$|hvg: 0.04395604395604396
vbn-hl|np-hl: 0.006147540983606557
np|vbn-hl: 0.037037037037037035
nns$-tl|np-tl: 0.0010290712631849757
cd-tl|,: 0.0009228039041703638
jj-tl|cd-tl: 0.021372328458942633
ap|nn-tl: 0.001234472648715377
np-tl|cd-tl: 0.04274465691788527
od-tl|np-tl: 0.0005145356315924878
cd|nr: 0.001959503592423253
beg|jj: 0.00016105912480471581
np|beg: 0.0060882800608828
fw-at-hl|.: 1.6986580601324952e-05
np-tl|fw-at-hl: 1.0
cd-tl|.: 0.000356718192627824
cc-tl|cd-tl: 0.0022497187851518562
cd-tl|cc-tl: 0.006756756756756757
nn$-tl|,: 5.323868677905945e-05
nn-hl|do-hl: 0.25
np-tl|nns: 3.7351062637732046e-05
np-tl|nns-tl: 0.004203643157403083
vbd-hl|nns-hl: 0.001658374792703151
nns|vbd-hl: 0.125
np-tl|--: 0.0012277470841006752
od|nn$-tl: 0.011299435028248588
in|nn$: 0.0006997900629811056
vb|vbg: 0.00045984939932172214
od|bedz: 0.0007394105841343615
np|:-hl: 0.07971014492753623
nns|ben: 0.007468879668049793
fw-nns|--: 0.0003069367710251688
bez-tl|nn-tl: 0.0003086181621788442
jj-tl|bez-tl: 0.2857142857142857
hvd|jj-tl: 0.001002004008016032
dti|bed: 0.004440215667618141
vb-tl|np$: 0.0008003201280512205
at-tl|vb-tl: 0.08333333333333333
bedz*|cc: 5.48305735277991e-05
rb|bedz*: 0.13513513513513514
pps|fw-nn: 0.0070921985815602835
cd|do: 0.002329192546583851
wps|:: 0.001304631441617743
rb|jjr: 0.007886435331230283
np$|nn: 0.00010803584089021533
bedz*|ex: 0.0038095238095238095
ppl|jj: 8.052956240235791e-05
dod*|rb: 0.0006516688388961296
be|ppls: 0.0029585798816568047
bedz*|wps: 0.0005243838489774515
qlp|vbn: 0.00014099400775467044
cc|hvd: 0.00042408821034775233
nns-tl|abn: 0.002768166089965398
hv|vbn: 0.00014099400775467044
md*|np-tl: 0.0002572678157962439
''|beg: 0.0015220700152207
bez|nps-tl: 0.015151515151515152
bez|nr-tl: 0.03728813559322034
dt|rbr: 0.007805724197745013
cd-tl|in: 0.0003248724020894425
jj|nns-tl: 0.004670714619336758
,|vbn-tl: 0.03942652329749104
pp$-tl|in: 8.549273739195855e-06
nn-tl|pp$-tl: 0.4444444444444444
od-tl|np: 0.0001494634262995845
,|od-tl: 0.020833333333333332
nns$|nn: 5.401792044510767e-05
od|vbn: 0.00024673951357067324
od|vbd: 0.00023645320197044335
(|--: 0.001841620626151013
bedz|dtx: 0.02
--|np-tl: 0.002829945973758683
vbn-tl|np-tl: 0.0015436068947774634
vbg|vbn-tl: 0.0017921146953405018
fw-in|np: 2.98926852599169e-05
np|fw-in: 0.024691358024691357
hvz-tl|nn-tl: 0.00023146362163413317
at-tl|hvz-tl: 0.5
abl|--: 0.0006138735420503376
doz|'': 0.00023649048125812936
jjr|beg: 0.0030441400304414
ber|abn: 0.0020761245674740486
hvn|ben: 0.0004149377593360996
wpo|cc: 0.0001096611470555982
pn$|vb: 0.0002759466503142726
ber|vbz: 0.00013842746400885935
cd|hvn: 0.021929824561403508
rbt|nn: 6.0770160500746126e-05
``|ppl: 0.0033472803347280333
fw-nns|jjt: 0.0010162601626016261
nps|ppls: 0.0029585798816568047
nr$-tl|at: 6.317718040243864e-05
jj|nr$-tl: 0.1111111111111111
abn|wpo: 0.007194244604316547
bez|*: 0.00022406453058480843
``|od: 0.002154011847065159
dod|dts: 0.0008557980316645272
wrb|np-tl: 0.0015436068947774634
nns|md: 0.0006637902422834385
abx|ppo: 0.0010182356752753865
dti|abx: 0.0014064697609001407
ppss|dts: 0.0034231921266581087
dts|jj: 8.052956240235791e-05
hvz|do: 0.0007763975155279503
vb-nc|``: 0.0005881660981061052
''|vb-nc: 0.0975609756097561
jj-nc|vb-nc: 0.024390243902439025
''|jj-nc: 0.1951219512195122
vbg|wdt: 0.0009319664492078285
hvz|vbg: 0.0005173305742369374
ben|,: 0.0001774622892635315
:|rbt: 0.01020408163265306
--|hvd: 0.0010602205258693808
od|dts: 0.002995293110825845
rb|jjt: 0.0040650406504065045
in|': 0.07255520504731862
abl|hvz: 0.0012536564981195152
wql|cc: 0.0003289834411667946
pps+hvd|cc: 0.0001096611470555982
hvd*|,: 8.873114463176575e-05
hvg|ppss+ber: 0.01098901098901099
np|ppss+bem: 0.0199203187250996
rp|ppss+ber: 0.029304029304029304
bedz*|rb: 0.00011333371111237037
*|wdt: 0.0014911463187325257
do*|nns: 0.0003174840324207224
ppss+ber|vb: 0.0005518933006285452
nps|rp: 0.0005157297576070139
rb|dt+bez: 0.023121387283236993
hv|doz*: 0.06818181818181818
vb|wrb: 0.0020637468470534283
abl|pps+bez: 0.009456264775413711
ben|hv*: 0.05128205128205128
ppss+hv|wdt: 0.0007455731593662628
bez|md: 0.0002489213408562894
rb|ppss+bem: 0.0796812749003984
nn+bez|cc: 5.48305735277991e-05
*|nn+bez: 0.030303030303030304
jj-tl|dti: 0.0021149101163200562
np|wps: 0.004195070791819612
abl|vbd: 0.0005123152709359606
nns|wps: 0.0007865757734661773
pp$|wrb+bez: 0.2727272727272727
hvn|hv*: 0.05128205128205128
dti|hvn: 0.013157894736842105
vb+ppo|``: 0.0025879308316668626
hv|vb+ppo: 0.02857142857142857
vbz|in: 4.274636869597928e-05
pn|dt: 0.002296211251435132
dts|np: 2.98926852599169e-05
jjr|pn: 0.004074979625101874
ap|nn$-tl: 0.00847457627118644
pn|hvn: 0.013157894736842105
pn|bed: 0.0028544243577545195
nrs|cc: 5.48305735277991e-05
vbg|nrs: 0.06666666666666667
cc|wdt: 0.0005591798695246971
wrb|dt: 0.0004592422502870264
in|pps+bez: 0.0425531914893617
ber*|,: 0.00019520851818988466
ppo|ber*: 0.06382978723404255
jjr|bed: 0.003171582619727244
rbr|bed: 0.001585791309863622
ql|dod: 0.004985044865403789
od|vbg: 0.00011496234983043054
hvz|cd: 0.0009897974722095325
nns$|jj: 0.00025769459968754527
ql|abn: 0.005190311418685121
hv|do: 0.003105590062111801
bez*|dt: 0.0013777267508610792
rp|cs: 4.663526558783752e-05
rbr|to: 0.00020808767427342721
.|beg: 0.0136986301369863
jj|ppls: 0.03550295857988166
ppss|jjr: 0.002103049421661409
fw-vbn|fw-nn: 0.0070921985815602835
in|fw-vbn: 0.25
bez|be: 0.00048740861088545896
bem|rb: 0.00011333371111237037
to|:: 0.007827788649706457
ap|jjt: 0.0040650406504065045
nns$|rp: 0.00017190991920233798
wp$|``: 0.00011763321962122103
jjr-tl|jj-tl: 0.000501002004008016
np|at-tl: 0.004087193460490463
hvg|--: 0.0003069367710251688
hvd|vbn: 0.00035248501938667606
nns-tl|--: 0.0003069367710251688
vbn-tl|nns-tl: 0.002335357309668379
vbd|vbn-tl: 0.0017921146953405018
fw-jj-tl|np-tl: 0.0007718034473887317
vbd|in: 2.5647821217587564e-05
np|hvz: 0.002089427496865859
pps|dts: 0.0017115960633290544
hvd|ap: 0.0005407159078620093
dt|np-tl: 0.0005145356315924878
wrb|np-hl: 0.004098360655737705
np$-tl|in-tl: 0.0041841004184100415
vbd|rp: 0.0010314595152140279
nn$|``: 0.0007057993177273262
(|ber: 0.0009402914903620122
*|at: 4.211812026829243e-05
dt$|cd: 0.00030455306837216383
nns|dt$: 1.0
rbr|jj: 0.00012884729984377264
wdt|beg: 0.0060882800608828
cd|abx: 0.0014064697609001407
wps|fw-wdt: 0.06666666666666667
dti|ap: 0.0006488590894344112
np-tl|wdt: 0.0009319664492078285
hvg|ber: 0.0016455101081335214
nns-tl|vbg: 0.00045984939932172214
pp$$|vbz: 0.0002768549280177187
''|abn: 0.0058823529411764705
pn|nn-hl: 0.0013966480446927375
dod|``: 0.0022350311728031994
ap|dod*: 0.002652519893899204
wdt+bez|``: 0.0025879308316668626
at|wdt+bez: 0.3181818181818182
jj|nr: 0.006531678641410843
jjr|*: 0.0006721935917544253
dtx|ber: 0.0004701457451810061
''|*: 0.0029128388976025093
bed|wrb: 0.0009172208209126347
ppo|bed: 0.0003171582619727244
in|wps+bez: 0.14285714285714285
cd|dt+bez: 0.011560693641618497
pn|jj: 0.0004026478120117895
pps+hvz|nns: 3.7351062637732046e-05
vb|uh: 0.005208333333333333
vbd|hvz: 0.0008357709987463436
nr-tl-hl|at-hl: 0.015479876160990712
nn|nr-tl-hl: 0.2
nr-tl|pp$: 6.105378838756945e-05
nn|nr-tl: 0.013559322033898305
)|nrs: 0.06666666666666667
dti|nr-tl-hl: 0.2
at|ppss+md: 0.002150537634408602
50th|,: 1.774622892635315e-05
in|50th: 1.0
at|nr-tl-hl: 0.4
nr-hl|at-hl: 0.0030959752321981426
nn|nr-hl: 0.2
ppss+md|nns: 0.00013072871923206216
in-tl|vbg-tl: 0.06060606060606061
wrb|nns-tl: 0.0018682858477347033
in|hvg: 0.007326007326007326
jjr|wdt: 0.0007455731593662628
ex+bez|nns: 1.8675531318866023e-05
beg|jjt: 0.0010162601626016261
jj-tl|beg: 0.0015220700152207
np-tl|ber: 0.00023507287259050304
md|cd-tl: 0.010123734533183352
ap|(: 0.003173164097914778
wrb|jjr: 0.0015772870662460567
jjs|be: 0.0003249390739236393
,|jjs: 0.014164305949008499
jjr|jjt: 0.0010162601626016261
bez|cd-tl: 0.007874015748031496
)|at-tl: 0.004087193460490463
)|nr: 0.003919007184846506
jjr|): 0.0036117381489841984
cs|ql: 0.0016532829475673122
vbg|fw-nn: 0.0070921985815602835
vbn|rp: 0.0012033694344163659
vbd|fw-nn: 0.0070921985815602835
do|jj: 3.221182496094316e-05
rp|dt: 0.0009184845005740528
fw-nns|cd: 7.613826709304096e-05
nps|pp$: 0.0004884303071005556
bedz*|ppss: 0.0013534852244529664
.|bedz*: 0.013513513513513514
dts|ppo: 0.0004628343978524484
dod|ppl: 0.0041841004184100415
vbn|wp$: 0.012195121951219513
(|hvd: 0.00021204410517387616
abn|pps: 0.0006220663914494147
jjt|ap: 0.0005407159078620093
pps|np-tl: 0.0015436068947774634
vbn-tl|``: 0.00047053287848488413
od|rp: 0.00017190991920233798
hvd*|wps: 0.0007865757734661773
jj-tl|nns$: 0.007905138339920948
wpo|,: 0.00026619343389529726
pp$|to: 0.0002774502323645696
ppss-tl|:: 0.0006523157208088715
md-tl|ppss-tl: 0.4444444444444444
*-tl|md-tl: 0.125
hv-tl|*-tl: 1.0
ppo-tl|hv-tl: 0.3333333333333333
vbn|ppo-tl: 0.07692307692307693
:-hl|vb-hl: 0.1532258064516129
nns|:-hl: 0.028985507246376812
jj|:-hl: 0.036231884057971016
vb|:-hl: 0.08695652173913043
at|:-hl: 0.06521739130434782
(|nns-hl: 0.003316749585406302
:|): 0.004514672686230248
4''|in: 2.5647821217587564e-05
(|nn-hl: 0.002094972067039106
nn$|vbg: 0.0003448870494912916
2''|vbn: 7.049700387733522e-05
''|2'': 1.0
4''|nns: 1.8675531318866023e-05
16''|in: 1.709854747839171e-05
2''|rb: 2.8333427778092593e-05
4''|rb: 5.6666855556185186e-05
(|:-hl: 0.007246376811594203
to-hl|.: 8.493290300662476e-05
2''|nn: 1.3504480111276917e-05
2''|cc: 5.48305735277991e-05
to-hl|nns-hl: 0.014925373134328358
nn-hl|cd-hl: 0.00683371298405467
:-hl|dt-hl: 0.16666666666666666
wrb|:-hl: 0.014492753623188406
nn-hl|vb-hl: 0.10483870967741936
to-hl|nn-hl: 0.007681564245810056
od|wdt: 0.0001863932898415657
nns-hl|vb-hl: 0.12096774193548387
ap|:-hl: 0.021739130434782608
rp-hl|vb-hl: 0.04032258064516129
nns-hl|rp-hl: 0.07142857142857142
:|nns-hl: 0.03316749585406302
rb-hl|nns-hl: 0.001658374792703151
:-hl|rb-hl: 0.041666666666666664
rb+bez|.: 0.00015287922541192458
at|rb+bez: 0.5454545454545454
``|bed: 0.005391690453536315
nns$|bedz: 0.00010563008344776593
np|pps: 0.0002262059605270599
wps-tl|nns-tl: 0.00046707146193367583
do-tl|wps-tl: 0.08333333333333333
nns-tl|do-tl: 0.2
wdt|jj-tl: 0.000501002004008016
vbn|hvn: 0.021929824561403508
,|ql: 0.000944733112895607
beg|--: 0.0006138735420503376
pps|pps: 5.6551490131764975e-05
ppss+md|vbn: 0.00010574550581600282
``|ppls: 0.005917159763313609
dts|be: 0.0003249390739236393
vbd|*: 0.00022406453058480843
hvg|*: 0.002016580775263276
wps|*: 0.00044812906116961686
ppss+ber|pn: 0.00040749796251018743
ex|dts: 0.0008557980316645272
pps|nn$: 0.0006997900629811056
dod|hv: 0.00026281208935611036
rbr|hv: 0.00026281208935611036
fw-nn-tl|(: 0.0013599274705349048
fw-cc-tl|fw-nn-tl: 0.031446540880503145
fw-nns-tl|fw-cc-tl: 0.16666666666666666
)|fw-nns-tl: 0.09375
np$|dod: 0.0019940179461615153
bez|abn: 0.0031141868512110727
pps|nr-tl: 0.006779661016949152
abn|bez: 0.001724487725705011
cs|wrb: 0.000687915615684476
wrb-tl|``: 0.0008234325373485472
at-tl|wrb-tl: 0.6666666666666666
vb-tl|nns-tl: 0.0028024287716020553
''|vb-tl: 0.21875
nn$-tl|at-tl: 0.01634877384196185
jjt|bedz: 0.0008450406675821274
at-tl|nn: 5.401792044510767e-05
nps|at-tl: 0.005449591280653951
cc-tl|nps: 0.001639344262295082
pp$-tl|cc-tl: 0.016891891891891893
fw-nps-tl|(: 0.00045330915684496827
fw-cc-tl|fw-nps-tl: 1.0
fw-pp$-tl|fw-cc-tl: 0.08333333333333333
fw-nns-tl|fw-pp$-tl: 0.5
ap|np$: 0.004401760704281713
dt|hvn: 0.008771929824561403
nn|dt+bez: 0.011560693641618497
fw-in-tl|np-tl: 0.0005145356315924878
fw-nn-tl|fw-in-tl: 0.2631578947368421
nn|pp$$: 0.00641025641025641
nn|wps: 0.0005243838489774515
rp|:: 0.0006523157208088715
ap|dt+bez: 0.005780346820809248
nns|fw-nns: 0.024691358024691357
pps|nrs: 0.06666666666666667
to|fw-nn: 0.01773049645390071
hv|'': 0.000354735721887194
``|np-tl: 0.0010290712631849757
in-tl|,: 0.00012422360248447205
``|wdt: 0.001863932898415657
nns-tl|vbz: 0.00013842746400885935
,|vb-tl: 0.07291666666666667
jjt-tl|at: 3.158859020121932e-05
nn-tl|jjt-tl: 1.0
fw-in|nn: 2.7008960222553833e-05
pn|cd: 7.613826709304096e-05
uh-tl|,: 3.54924578527063e-05
in-tl|uh-tl: 0.3333333333333333
pn-tl|in-tl: 0.001394700139470014
(|pn-tl: 0.2
wrb|ben: 0.0012448132780082987
cc|dts: 0.004278990158322636
ql|nn$-tl: 0.011299435028248588
vbz|vb: 0.00021462517246665643
,-hl|nns-hl: 0.03482587064676617
nns-hl|,-hl: 0.08917197452229299
*|nns-hl: 0.001658374792703151
``|cd: 0.0011420740063956144
vb-tl|jj: 1.610591248047158e-05
rb-tl|vb-tl: 0.07291666666666667
cc-tl|rb-tl: 0.05
vb-tl|cc-tl: 0.02027027027027027
jj-tl|vb-tl: 0.041666666666666664
fw-nns|jj: 6.442364992188632e-05
np$|.-hl: 0.005042016806722689
nns$|cs: 9.327053117567504e-05
nps|:: 0.0019569471624266144
nps|.: 0.00030575845082384917
at-hl|:-hl: 0.014492753623188406
fw-nn|bez: 0.00010144045445323595
nns-tl|np$: 0.003601440576230492
--|hvz: 0.0012536564981195152
jj|doz: 0.0021929824561403508
ql|.-hl: 0.010084033613445379
beg|pps+bez: 0.002364066193853428
dt-hl|.: 3.3973161202649904e-05
jj-hl|dt-hl: 0.16666666666666666
nn-tl|nn$: 0.00489853044086774
fw-nn|np: 5.97853705198338e-05
fw-jj-nc|cc: 2.741528676389955e-05
,|fw-jj-nc: 1.0
rb|.-hl: 0.013445378151260505
jj|cd-hl: 0.002277904328018223
hvd|vbg: 0.0005173305742369374
ppl|rp: 0.00017190991920233798
vbn-tl|bedz: 0.00010563008344776593
nn|vbn-tl: 0.014336917562724014
nns|vbn-tl: 0.0035842293906810036
fw-in-tl|np: 2.98926852599169e-05
np|fw-in-tl: 0.05263157894736842
at-hl|np-hl: 0.00819672131147541
ap|vbn-hl: 0.014814814814814815
np|nn-hl: 0.011871508379888268
nns$|vbg: 0.00022992469966086107
jj-tl|od-tl: 0.036458333333333336
np$|vbn-hl: 0.007407407407407408
cd-hl|vbz-hl: 0.013888888888888888
nns-hl|cd-hl: 0.05239179954441914
(-hl|cd-hl: 0.022779043280182234
,|dod*: 0.007957559681697613
,|to: 0.0007629881390025664
bedz|pp$$: 0.02564102564102564
--|fw-nn-tl: 0.012578616352201259
od-tl|np$: 0.004401760704281713
bedz|od-tl: 0.010416666666666666
nn|uh: 0.006944444444444444
hvg|be: 0.0003249390739236393
fw-in-tl|fw-nn-tl: 0.0880503144654088
fw-at-tl|fw-in-tl: 0.21052631578947367
dod*|--: 0.0003069367710251688
ppss+bem|wdt: 0.0014911463187325257
cs|pps+bez: 0.01182033096926714
ppo|hvz: 0.0008357709987463436
bed|dt: 0.0002296211251435132
in-hl|vbn-hl: 0.2074074074074074
at|cd-hl: 0.02050113895216401
jjs|ber: 0.00023507287259050304
rb|ex: 0.011428571428571429
``|nn-hl: 0.009078212290502794
wrb|nr: 0.005225342913128674
fw-in|np-tl: 0.0005145356315924878
np-tl|fw-in: 0.012345679012345678
'|.: 0.00032274503142517414
vb-hl|': 0.006309148264984227
to-hl|vb-hl: 0.016129032258064516
'|vb-hl: 0.016129032258064516
rb-hl|vb-hl: 0.008064516129032258
at|rb-hl: 0.0625
nr$|.: 8.493290300662476e-05
np|np-hl: 0.018442622950819672
vbz-hl|.: 0.0004416510956344488
pps|nn-hl: 0.006983240223463687
od-tl|,: 0.0002129547471162378
in-tl-hl|nn-tl-hl: 0.038461538461538464
jj-tl-hl|in-tl-hl: 0.2
in-hl|,-hl: 0.012738853503184714
.|np-hl: 0.010245901639344262
nr|wdt: 0.0001863932898415657
.|bez*: 0.017241379310344827
ex|wpo: 0.0035971223021582736
wps|jj: 0.00030601233712896004
ber|fw-jj-tl: 0.014925373134328358
rb|fw-nn-tl: 0.012578616352201259
do|fw-nn-tl: 0.006289308176100629
hvz|fw-nn-tl: 0.018867924528301886
ap|fw-nn-tl: 0.006289308176100629
in|fw-nn-tl: 0.050314465408805034
pn$|cc: 5.48305735277991e-05
wps|nr: 0.0013063357282821686
rb|hv*: 0.07692307692307693
cs-tl|``: 0.00011763321962122103
ppss+hv-tl|cs-tl: 0.5
vbn-tl|ppss+hv-tl: 1.0
''|vbn-tl: 0.0017921146953405018
ber-tl|wrb-tl: 0.1111111111111111
ppss-tl|ber-tl: 0.16666666666666666
,|ppss-tl: 0.2222222222222222
pp$-tl|,: 5.323868677905945e-05
nns-tl|vbd: 0.00019704433497536947
vbg|od: 0.005385029617662897
do-tl|``: 0.00047053287848488413
wps-tl|do-tl: 0.2
np-tl|wps-tl: 0.08333333333333333
vb-tl|np-tl: 0.0005145356315924878
rb-tl|``: 0.0007057993177273262
nr-tl|rb-tl: 0.025
ppo-tl|nn-tl: 7.715454054471106e-05
nns-tl|ppo-tl: 0.07692307692307693
uh-tl|``: 0.0008234325373485472
,|uh-tl: 0.13333333333333333
dod*-tl|uh-tl: 0.06666666666666667
pps-tl|dod*-tl: 1.0
vb-tl|pps-tl: 0.16666666666666666
np-tl|pp$-tl: 0.1111111111111111
cd-tl|``: 0.0005881660981061052
fw-rb-tl|uh-tl: 0.06666666666666667
fw-at-tl|fw-rb-tl: 0.3333333333333333
fw-rb-tl|fw-at-tl: 0.02702702702702703
''|fw-rb-tl: 0.3333333333333333
wql|rb: 0.00014166713889046296
jjs-tl|in: 6.839418991356684e-05
to|dt: 0.001722158438576349
at-tl|be: 0.0003249390739236393
pps+bez|:: 0.0019569471624266144
md|pp$: 0.0001221075767751389
''|nn$: 0.0013995801259622112
wps|rp: 0.0006876396768093519
do|nps: 0.002459016393442623
cc|pp$$: 0.019230769230769232
.|rb$: 0.2222222222222222
cs|': 0.006309148264984227
np-tl|': 0.012618296529968454
nil|jj: 1.610591248047158e-05
.|nil: 0.05194805194805195
``|rp: 0.0010314595152140279
fw-wps|.: 1.6986580601324952e-05
fw-ppl+vbz|fw-wps: 1.0
fw-ppl+vbz|fw-ppl+vbz: 0.5
,|fw-ppl+vbz: 0.5
nps|--: 0.0006138735420503376
fw-rb|(: 0.00045330915684496827
)|fw-rb: 0.03125
)|,: 8.873114463176575e-05
dod|abn: 0.0006920415224913495
be|(: 0.0009066183136899365
)|at: 1.0529530067073107e-05
beg|bedz*: 0.006756756756756757
,|beg: 0.0121765601217656
dts|'': 0.000354735721887194
nn-tl|dts: 0.0012836970474967907
dt|'': 0.0005912262031453234
vb|jjr: 0.0031545741324921135
beg|ppo: 0.00018513375914097936
nr$|ap: 0.00021628636314480372
nn-tl|nr$: 0.030303030303030304
np-tl|nr$: 0.015151515151515152
abx|pp$: 6.105378838756945e-05
hvg|abx: 0.0014064697609001407
pps|qlp: 0.00398406374501992
beg|wps: 0.0005243838489774515
abn|ben: 0.0008298755186721991
ben|dt: 0.0001148105625717566
do|cd: 7.613826709304096e-05
dt|hv: 0.002628120893561104
nn|to: 0.00041617534854685443
rb|np$: 0.003201280512204882
dts|md: 0.00016594756057085962
dts|do: 0.004658385093167702
bez|jjt: 0.007113821138211382
jjt|ber: 0.0009402914903620122
bedz-hl|nn-hl: 0.0006983240223463687
vbn-hl|bedz-hl: 1.0
cd-hl|vbd-hl: 0.25
(|(: 0.006346328195829556
nn$|nr: 0.001959503592423253
nns$-tl|nn-tl: 0.0005400817838129774
nns-hl|vbz-hl: 0.08333333333333333
nr|nns-tl: 0.0009341429238673517
nn$|,: 0.0001064773735581189
nn-tl|be: 0.0009748172217709179
nn$-hl|.: 0.0002887718702225242
jj-hl|nn$-hl: 0.05
cs|hvn: 0.013157894736842105
``|nns-hl: 0.003316749585406302
ex|bed: 0.0003171582619727244
pps|jjr: 0.0031545741324921135
in-hl|in-hl: 0.008097165991902834
``|jj-hl: 0.002577319587628866
np|uh: 0.012152777777777778
wrb|be: 0.0006498781478472786
wps+bez|ppo: 0.00018513375914097936
nn|wps+bez: 0.09523809523809523
ex|wps: 0.00026219192448872575
jj|dod: 0.005982053838484547
nns$-tl|bedz: 0.00010563008344776593
in|nps$: 0.05405405405405406
doz|pn: 0.003667481662591687
''|jjr: 0.007360672975814932
cc|cc: 0.00024673758087509593
