The tag-bigram has the form ti|ti-1
nns-tl|``: 32
cc-tl|nns-tl: 24
nns-tl|cc-tl: 29
np$-hl|nn-tl: 2
jj|np$-hl: 2
--|ppls: 1
nn|ber: 36
hvz|'': 11
vbg|hvz: 4
cc-hl|.: 2
rb-hl|cc-hl: 4
---hl|rb-hl: 1
ap-hl|---hl: 1
nn-hl|ap-hl: 16
pp$-hl|.: 1
nns-hl|pp$-hl: 3
do-hl|nns-hl: 3
*-hl|do-hl: 2
vb-hl|*-hl: 2
ppo-hl|vb-hl: 3
nn|ppo-hl: 1
ql|nn$: 12
nns-tl|cc: 16
md|nr-tl: 12
jjs|nn$: 13
jj-tl|``: 106
hvd|'': 5
np|md: 12
do|np: 5
np-tl|ap: 13
ql|beg: 24
nps|jj-tl: 34
abx|nps: 1
nn-tl|vbd: 51
jj-tl|cd: 32
ex|wrb: 47
dti|*: 5
vbg|abx: 6
dt|beg: 3
dod|nns-tl: 5
''|np$: 4
hvd|nn-tl: 61
np|dti: 10
nn$-tl|jj-tl: 33
rbr|pps: 11
np|bed: 31
bed|cd: 34
nn$-tl|np-tl: 23
np|nn$-tl: 9
``|ppss: 12
ber|``: 27
wpo|nns: 45
at|wpo: 37
at|nn-tl: 41
dti|ber: 27
pn|hvd: 30
rbt|ql: 4
np|rbt: 1
md|ppl: 22
doz*|dt: 4
hvd*|nn: 2
.|hvd: 15
rbr|``: 4
''|rbr: 19
be|``: 7
abn|pn: 1
np$|vbn: 19
ppss+bem|vbg: 1
cd|ppss+bem: 1
vbn|ex+bez: 1
pn|be: 18
wps+bez|``: 6
dt|wps+bez: 1
in|nn+bez: 3
vbd|nn$: 2
ppss|rp: 12
ppo|*: 10
''|uh: 90
jjr|ppss+ber: 3
pp$|pps+bez: 9
nps|dts: 9
wps+bez|cd: 2
vbg|wps+bez: 3
dt|jj: 30
''|bez: 12
wrb|nps: 1
vbd|dts: 10
nps|``: 8
bed|abn: 12
nns|hvd: 34
bed|vbd: 7
nps|bed: 6
nr|np$: 3
vbd|dti: 9
rp|rp: 13
(|rp: 6
np-tl|:: 7
in-tl|np: 8
at-tl|cs: 15
cs|qlp: 15
jjt|cc: 15
nps-nc|,: 1
at|nps-nc: 1
nps|jjt: 2
at-tl|vbn: 9
ber|np-tl: 8
md*|np: 38
fw-nn|jj: 13
fw-vbg|fw-nn: 2
.|fw-vbg: 2
ql|ap: 31
fw-at|vbn: 1
fw-nn|fw-at: 15
fw-jj|fw-nn: 12
in|fw-jj: 5
nns|wpo: 7
abl|cc: 7
nr|pn: 1
nps|be: 4
(|nps: 11
fw-jj|be: 1
.|fw-jj: 4
cd|wps: 2
dti|wdt: 7
at-tl|.: 22
fw-nn-nc|,: 1
cc|fw-nn-nc: 1
fw-nn-nc|cc: 1
.|fw-nn-nc: 3
np+hvz|np: 2
vbn|np+hvz: 5
ex+bez|cs: 5
ap|ex+bez: 5
--|pps+bez: 2
ppss+md|--: 5
ber*|ex: 3
dti|ber*: 1
''|wrb: 12
rb|dod*: 14
,|at: 11
pps+hvd|nn: 11
ben|pps+hvd: 15
.|hvd*: 3
ppss+ber|wdt: 9
cc|md: 46
bed|vbn: 19
md*|``: 10
ppss|md*: 26
wdt|do: 16
cc|bedz: 23
hvn|pps+hvd: 4
abn|bed: 31
ppss+hv|vb: 12
--|to: 3
hvd*|cc: 2
abx|vbn: 22
ex|jj: 6
ex|vbz: 3
ap$|dt: 7
nn|hvn: 8
od|wrb: 1
abx|ber: 11
wps|vb: 13
rb|abx: 21
od|cs: 3
:|jj-tl: 1
at-tl|:: 5
ppls|bez: 1
cc|ppls: 16
''|ppls: 6
od|in: 60
bed|ap: 16
``|hvg: 3
nns|nr$: 15
abl|,: 14
(|rbr: 6
ber|vb: 12
np|nr: 10
vbn|'': 29
bedz|'': 61
bez|dts: 8
ber|cd-tl: 5
rbt|vbz: 3
bez|rbt: 1
jjt|be: 6
cd|``: 54
nr|``: 7
nr|nn$: 3
nns|bez: 9
doz|--: 1
pn|doz: 7
ber|abx: 8
nr|pp$: 49
do|wps: 11
nr|bedz: 1
hvz|abn: 2
jj-tl|nn$: 9
nns$|rb: 1
wdt|be: 1
nn$|wdt: 1
vbg+to|ppss: 5
vb|vbg+to: 8
rb|nps: 28
nns-hl|.-hl: 8
nps-hl|cc-hl: 2
in|nps-hl: 2
bedz|nn-tl: 133
np|np$-tl: 2
at|bedz*: 21
uh|rb: 2
fw-nns|,: 5
,|fw-nns: 19
vbd|fw-nns: 6
nn+hvz-tl|jj-tl: 1
vbn|nn+hvz-tl: 1
dt|dod: 11
cs|nps: 24
ex+bez|nn: 5
ppo|bedz: 1
beg|vb: 9
jj|nn+bez: 5
do*|nn-tl: 3
nn+bez-tl|jj-tl: 1
*|nn+bez-tl: 1
pps+md|rp: 3
hv|pps+md: 15
bez*|vbg: 3
vbg|bez*: 9
nn|vb+ppo: 1
jj-tl|cs: 51
ber|nps: 44
nn|dod: 5
bez*|nn: 15
jj|bez*: 17
nn-hl|.-hl: 28
jj-tl|nn-hl: 3
fw-nns|vbn: 1
at|fw-nns: 1
ppss+hvd|nns: 4
hvn|ppss+hvd: 8
pn$|vbd: 2
vbg|nns-tl: 12
``|vbd: 70
wps+md|``: 3
be|wps+md: 4
doz*|wps: 4
''|doz*: 1
nns$|pp$: 17
bedz|nns-tl: 21
hvd|jj: 7
.|--: 6
ppss|in: 5
vb|np-tl: 8
vbd|od: 13
ppss|jj: 65
at|nps: 11
wp$|--: 2
(|vbd: 7
)|ap: 8
nn|ppss: 16
vb+rp|.: 2
rb|vb+rp: 1
nps-tl|jj-tl: 25
nn-tl|cd-tl: 44
cd|hv: 49
rp|abn: 14
pn$|bedz: 3
vbd|pn: 119
np$|in-tl: 3
rbt|vbd: 9
bedz|abn: 9
at-tl|np-tl: 25
,|jj-tl: 37
od-tl|jj-tl: 2
--|beg: 2
np|dts: 4
.|cs: 8
--|jjr: 7
jj-tl|dt: 11
--|nps-tl: 4
jjs|ppo: 1
hvd|--: 10
nps-tl|np-tl: 7
,|nps-tl: 10
od|,: 21
wps|(: 7
,|rbt: 6
nn$-tl|cd: 2
nns-tl|nn$-tl: 5
wps|nns-tl: 16
nn-tl|nn$-tl: 69
to|rbt: 5
wrb+bez|``: 8
at|wrb+bez: 2
--|at: 4
jj-tl|dts: 5
in|wps: 33
vbz|md: 1
wrb|hvd: 5
bed|cs: 10
*|vbg: 15
nns$-tl|``: 3
nns-tl|nns$-tl: 6
dti|'': 2
bed|ppls: 1
jj|wps: 3
vb|(: 81
nns-hl|nn-hl: 90
ap|nns-hl: 5
doz|wps: 14
jj-hl|cc-hl: 10
7074|at: 1
nns-tl|7074: 1
vbg-tl|nns-tl: 4
``|nn-tl: 17
7074|np-tl: 1
nn-tl|7074: 1
vbg-tl|:: 1
cd-hl|,: 1
vbz|od: 4
abl|wrb: 2
ap-tl|at-tl: 5
nn-tl|ap-tl: 12
jj-tl|nns-tl: 19
''|jj-tl: 14
jj-tl|ap-tl: 1
jj-tl|nns: 4
7074|.: 1
np|7074: 2
vb-tl|(: 9
nn-tl|vb-tl: 10
)|vb-tl: 1
output|vb-tl: 1
nn-tl|output: 4
jj-tl|(: 29
,|md*: 10
output|at: 2
vb|nns-tl: 34
cd-tl|np-tl: 60
output|cd-tl: 1
7074|ap: 1
---hl|nn-hl: 13
vb-hl|---hl: 2
output|vb-hl: 1
nn-hl|output: 1
wrb|nn-hl: 1
ql|hvz: 20
hvz|nn-tl: 80
ap|np: 34
nn|do: 12
nps|wdt: 5
ppls|nps: 5
np-tl|od: 5
nps|vbd: 6
ql|nps: 6
cd-tl|np: 36
wdt|): 11
nns|nr: 36
ppls|jj: 2
nns$-tl|at: 28
nn-tl|nns$-tl: 37
nns$|cd: 23
ql|rbr: 2
nps|dti: 4
nn-tl|nr: 4
:|'': 11
vbn-tl|uh: 1
nn-tl|jjs: 1
pp$-tl|in-tl: 5
nns-tl|pp$-tl: 4
nns-tl|pp$: 11
np$|:: 3
'|ber: 2
dts|wrb: 16
ex|ap: 3
ex|ber: 5
ql|ex: 2
cs|nr: 40
nn-tl|nr-tl: 9
nrs|jj: 1
in|nrs: 3
at-tl|bedz: 3
np$-tl|nn-tl: 30
.|np$-tl: 3
abl|vbn: 10
rbr|*: 5
dod|nns: 45
pps|wpo: 69
to|dod: 3
rbr|ben: 5
cd|ben: 17
nns|hvg: 4
ex|nn-tl: 5
hvg|bedz: 4
hvd|dtx: 3
np|hv: 11
np|pn: 5
rbr|pn: 6
md|rbr: 5
ppo|dod: 42
cs|wps: 5
ql|wql: 5
nn|rbr: 4
nr|nn-tl: 25
jjs|ap: 7
np|ben: 9
ap|od: 9
vbd|cd-tl: 5
np$-tl|cc: 3
rbr|,: 24
cc-hl|nn-hl: 48
nn-hl|cc-hl: 47
np$|nn-hl: 4
np-tl|cc-tl: 69
nrs|in: 6
np$-tl|cc-tl: 7
nn|np$-tl: 12
jjt|nns: 1
np|jjt: 10
np$-tl|,: 2
bed|nps-tl: 2
wrb|cd: 25
nn$|np: 8
jjt|np$: 22
cd|hvd: 33
vbn|od: 7
bed|nn-tl: 21
rp|bed: 20
ap|``: 38
in|np$: 12
rbr|(: 6
)|np$: 4
cc|cd-tl: 49
jj-tl|rb: 17
jjs|cc: 8
jj|nns$: 17
nn|nn-hl: 22
abl|vbz: 2
bedz|vbg: 27
wrb|dod: 4
wrb|nn-tl: 30
*|nn-tl: 4
)|hvd: 2
hvz*|pps: 7
rb|hvz*: 2
beg|,: 35
pps|): 21
nn$|cd: 8
pps|cd: 46
bez*|``: 7
vbd|.: 52
nns$|in: 36
ppss+md|ap: 2
bedz|ppl: 15
dod*|dts: 1
.|dod*: 9
rbr|be: 6
ppss|abn: 51
vbn|nn+bez: 6
cd|md: 6
pp$|ql: 1
rb|pp$$: 6
nn|hvz: 33
'|cs: 6
np|': 12
'|vbn: 9
cc|bed: 7
)|jj-tl: 10
wdt|dt: 36
nn$|vbz: 2
vbz|ql: 5
pp$|np: 25
(|dt: 1
ppss|): 12
nr-tl|jj-tl: 37
(|pps: 6
)|in: 5
nn$|cs: 4
np$|ben: 5
to|'': 25
vbg|pn: 24
pn-tl|in: 2
,|pn-tl: 1
nn|wpo: 10
fw-nn-tl|pp$: 2
fw-in+at-tl|fw-nn-tl: 7
fw-nn-tl|fw-in+at-tl: 8
.|fw-nn-tl: 14
rb|rbr: 13
fw-nn-tl|np$: 2
fw-nn-tl|fw-nn-tl: 7
cc|fw-nn-tl: 7
fw-at-tl|np$: 2
fw-nn-tl|fw-at-tl: 16
,|fw-nn-tl: 16
doz|nns: 5
jj|ppl: 17
nns|do: 7
nn|doz: 5
cc|wrb: 20
*|ppo: 23
pn|pn: 2
abl|bedz: 7
rbr|ap: 8
nn|rp: 66
do*|vb: 4
pn|rp: 11
ppss+hv|dt: 1
pps|dod: 36
bedz|``: 8
pps+md|jj: 2
hv|``: 14
nn|do*: 1
abn|jjs: 1
abn|ppss+ber: 7
pps+md|cs: 10
cd-hl|nn-hl: 35
wps|bedz: 2
pps|wps: 14
vbg|jj-tl: 4
to|nns-tl: 19
rb|wps+bez: 2
ex|vb: 17
wps+md|nn: 2
rb|wps+md: 1
md*|vbn: 2
hvd|bedz: 1
cs|ben: 10
jjt|nn$: 21
rbr|np: 13
wrb|bedz: 28
*|bem: 25
md*|wps: 9
uh|ppo: 3
in|uh: 5
pps|*: 5
np-tl|np: 13
ql|np$: 15
nps|ber: 3
cd|wdt: 15
in|pp$$: 9
pps|nns-tl: 8
ppo|hvg: 3
beg|vbd: 7
at|bem: 20
jj-tl|jj-tl: 130
--|nns-tl: 13
rbt|at: 11
vbn|rbt: 26
vb|ap: 26
active|jj: 1
nn|active: 1
vbg-hl|at-hl: 9
nn-hl|vbg-hl: 38
vbg|nn-hl: 7
rbt|bez: 6
rbt|ber: 3
rb|rbt: 2
cs|vbg-hl: 4
nn|.-hl: 38
jj|.-hl: 14
nns|.-hl: 16
dti|vbz: 47
do|ppls: 1
)|vbn: 31
wdt|dts: 11
jj-tl|cc-tl: 26
ap|nn-hl: 7
jjt|ql: 7
nps|nn$-tl: 1
hvg|.: 20
np-hl|at-hl: 23
nn-hl|np-hl: 17
ppl|nn-tl: 11
hvz|ppl: 5
ql|nns-tl: 4
nns-tl|be: 1
np-hl|np-hl: 55
,-hl|np-hl: 79
nn-hl|,-hl: 10
cs|nn-hl: 13
nn-tl|wrb: 26
jjs-tl|ap: 1
nns-tl|jjs-tl: 2
nns-hl|at-hl: 26
vbd|vbn: 13
wdt|nns-tl: 5
nn-tl|np-hl: 1
nn-tl|rb: 19
vbn-tl|vbg: 7
nns|nns-tl: 21
np$-tl|np-tl: 2
vbn-tl|in: 27
doz|rb: 21
vbn-tl|vb: 3
nn|nns-tl: 64
vbg|to: 4
nns|jj-hl: 2
*|): 2
nns|nn-hl: 9
4''|at: 2
''|4'': 15
2|at: 3
nn|2: 18
4|,: 1
nn|4: 10
jj-tl|bedz: 7
16|in: 2
nn|16: 2
nn-hl|vbn-hl: 20
rb|cd-tl: 5
to|do: 13
nn$|vb: 7
ppss|*: 8
ap|nn$: 8
jjr|jj: 21
md|:: 3
ap|do: 15
jj|md: 12
vbd-hl|nn-hl: 3
ap-hl|vbd-hl: 1
nr|vbz: 11
md|abn: 13
hv|ap: 6
''|nr-tl: 9
rb-hl|nn-hl: 6
vbz-hl|rb-hl: 1
in-hl|vbz-hl: 8
nns-tl|nns-tl: 9
vb-hl|.: 15
in-hl|vb-hl: 15
np-tl|in-hl: 2
in-hl|nn-tl: 2
vbg-tl|nn-tl: 22
cc-tl|vbg-tl: 5
vbz-hl|nn-hl: 23
vbn-tl-hl|vbz-hl: 1
nns-tl-hl|vbn-tl-hl: 4
nn-hl|nns-tl-hl: 1
*|vbd: 26
nn|nps: 2
nn-hl|vbz-hl: 17
bez-hl|nn-hl: 24
in-hl|bez-hl: 1
rb-hl|.: 13
,-hl|rb-hl: 3
pn-hl|,-hl: 1
bez-hl|pn-hl: 1
vbn-hl|bez-hl: 3
to-hl|vbn-hl: 3
vb-hl|to-hl: 50
np|ppo-hl: 1
nn|nns-hl: 9
nn-tl|nns: 7
md|*: 2
jjs|cs: 1
in|jjs: 6
dti|do: 9
nn|np-hl: 3
fw-at-tl|in: 4
nn-tl|fw-at-tl: 1
md*|dt: 13
dti|dod: 3
fw-at-tl|.: 2
nn$-tl|fw-at-tl: 1
hvd|nns-tl: 15
nn$|dt: 40
nn-tl|vbg: 33
dod|dt: 6
cd|*: 22
nps|nn-tl: 7
nn-tl|hvd: 3
ap|nps: 5
do*|wps: 3
rb|do*: 9
dti|md: 6
doz*|,: 3
np|cd-tl: 1
:-tl|cd-tl: 22
cd-tl|:-tl: 22
wdt|*: 10
pps+hvz|.: 20
ben|pps+hvz: 10
pps+bez|cs: 26
wrb|:: 9
ber*|``: 3
abl|nns: 2
doz|``: 9
``|'': 25
abl|``: 4
pp$|'': 8
``|wrb: 9
uh|cc: 7
bez|pp$$: 5
wps|ppss: 9
ppss|nr: 16
od|vb: 9
hv|jj: 4
dts|:: 3
hvz|ap: 5
abx|md: 5
abx|hv: 4
md|dtx: 1
(|dti: 1
ber|ppo: 26
jjr|--: 5
nn-tl|:: 12
at-tl|jj: 2
cd$|in: 4
jj|cd$: 2
jj-tl|np: 24
vbn-tl|,: 31
vbg-tl|np-tl: 4
jj-tl|nn$-tl: 10
ber|wpo: 2
cc-tl|jj-tl: 18
jjs|nn$-tl: 4
vbg|jjs: 5
np-tl|vbn: 13
pp$|nn-hl: 6
nr-tl|np-tl: 2
vbn-tl|cd: 1
bed|vbg: 5
nn$-tl|dt: 8
jjs|in: 14
in|nns-hl: 26
nns$-tl|vbn-tl: 7
vbg|nns$-tl: 2
rbr|nn-tl: 5
od|np: 32
cc-tl|nns: 1
nns|cc-tl: 1
in-tl|jj-tl: 11
to|(: 4
vbn|nn-hl: 5
od|)-hl: 1
vbg|)-hl: 4
pps|)-hl: 3
in|)-hl: 15
vbg-hl|nn-hl: 11
at|vbg-hl: 1
destination|jj: 1
nn|destination: 1
vbg-hl|jj-hl: 9
to|ben: 7
at|od: 6
in|nn-hl: 38
vbn-hl|.: 24
jj|nn-hl: 9
jj-hl|in: 1
jj-tl|vbz: 3
nns-tl|,: 20
nn-hl|nns-hl: 20
in|vb-hl: 4
nns-tl|nn: 6
wps-tl|,: 4
pps-tl|wps-tl: 3
bez-tl|pps-tl: 2
,|bez-tl: 2
wpo-tl|,: 1
pps-tl|wpo-tl: 1
doz-tl|pps-tl: 2
,|doz-tl: 1
vbg-tl|.: 4
vbg-tl|cc-tl: 2
jj-tl|vbg-tl: 2
wrb|(: 10
jj-tl|nn: 25
.|doz-tl: 1
ber|vbg-tl: 1
in-hl|.: 15
(|jj-tl: 11
cd|nns-hl: 7
to|nn-hl: 5
jj-tl|:: 4
md-tl|nn-tl: 1
vb-tl|md-tl: 5
in-tl|vb-tl: 10
dt|nns-hl: 4
md|vbz: 9
nn|vb-hl: 1
at-nc|``: 1
nn-nc|at-nc: 28
to-nc|nn-nc: 1
vb-nc|to-nc: 8
ppss-nc|vb-nc: 1
hv-nc|ppss-nc: 6
,-nc|hv-nc: 1
at|,-nc: 1
hv-nc|nns: 1
cc|hv-nc: 1
nn-nc|cc: 2
,|nn-nc: 11
bed|in: 2
vb-nc|in: 8
md|vb-nc: 2
wdt+bez-nc|in: 2
jj-nc|wdt+bez-nc: 1
rb-nc|jj-nc: 2
.-nc|rb-nc: 1
.-nc|.-nc: 8
bez|.-nc: 3
np+hvz-nc|bez: 1
vbn-nc|np+hvz-nc: 1
at-nc|vbn-nc: 1
at-nc|nn: 4
hvz-nc|nn: 1
vbn-nc|hvz-nc: 1
,|vbn-nc: 1
vbn-nc|in: 1
rb|vbn-nc: 1
vb-nc|ppss-nc: 5
cd-nc|vb-nc: 2
nn-nc|cd-nc: 4
jj|nn-nc: 3
cd-nc|nn: 1
cd-nc|in: 2
ppss-nc|nn-nc: 3
pps|vb-nc: 1
vb-nc|nn: 1
.|vb-nc: 3
nn-nc|in: 11
nns-nc|nn-nc: 1
ber-nc|nns-nc: 3
ql-nc|ber-nc: 1
jj-nc|ql-nc: 2
jj|jj-nc: 1
ql-nc|nn: 1
jjr-nc|at-nc: 2
at-nc|jjr-nc: 2
,-nc|nn-nc: 2
at-nc|,-nc: 1
nns-nc|at-nc: 3
pps|nns-nc: 1
at-nc|nns: 1
cc|nn-nc: 6
at-nc|cc: 1
.|nns-nc: 3
at-nc|wdt+bez-nc: 1
wps+bez-nc|in: 1
at-nc|wps+bez-nc: 1
nil|nn-nc: 1
pps|nil: 1
pp$-nc|in: 4
nn-nc|pp$-nc: 6
abx|nn-nc: 1
dt+bez-nc|in: 1
pp$-nc|dt+bez-nc: 1
pp$-nc|wrb: 1
bez|nn-nc: 7
rb+bez-nc|in: 1
pp$-nc|rb+bez-nc: 1
*|jj: 14
wdt-nc|in: 4
bedz-nc|wdt-nc: 2
dt-nc|bedz-nc: 2
nn-nc|dt-nc: 4
.-nc|nn-nc: 3
np-nc|bez: 2
vbd-nc|np-nc: 2
at-nc|vbd-nc: 2
rp-nc|nn-nc: 1
,|rp-nc: 2
at-nc|,: 1
rp-nc|nn: 1
.|rp-nc: 1
vbz-nc|np-nc: 1
at-nc|vbz-nc: 1
rb-nc|nn-nc: 2
,|rb-nc: 4
rb-nc|nn: 2
.|rb-nc: 2
ber-nc|wdt-nc: 1
ppss-nc|ber-nc: 2
vbg-nc|ppss-nc: 1
in-nc|vbg-nc: 2
.-nc|in-nc: 2
ppss|.-nc: 1
rb-nc|in: 2
in|rb-nc: 1
pps-nc|in: 3
rb-nc|pps-nc: 2
vbz-nc|rb-nc: 2
rb-nc|vbz-nc: 2
vbz-nc|in: 3
.|vbz-nc: 1
pn-nc|jj: 1
ber|pn-nc: 1
ppss+md-nc|in: 1
vb-nc|ppss+md-nc: 2
in-nc|vb-nc: 5
np-nc|in-nc: 3
jj|np-nc: 2
np-nc|in: 4
.|np-nc: 1
hvz|vbn: 2
ppss+md-nc|rb: 1
ppo-nc|in-nc: 1
,|ppo-nc: 2
in-nc|nn: 1
.|in-nc: 3
wps+bez-nc|vbz: 1
pps-nc|wps+bez-nc: 1
.|pps-nc: 1
pps-nc|``: 1
''|pps-nc: 1
ber|hv: 1
in|vb-nc: 1
wrb-nc|in: 2
*-nc|wrb-nc: 1
vb-nc|*-nc: 1
np-nc|vb-nc: 1
.-nc|np-nc: 1
cc|.-nc: 1
wdt|wrb: 2
pps-nc|jj: 1
in|pps-nc: 1
vbz|rb-nc: 2
:|vbz-nc: 1
pn|:: 3
ppo|``: 10
ex-nc|in: 1
ber*-nc|ex-nc: 1
ap-nc|ber*-nc: 1
jj-nc|ap-nc: 1
nns-nc|jj-nc: 2
in-nc|nns-nc: 2
at-nc|in-nc: 4
at|nn-nc: 1
nns-nc|nn: 2
:|nns-nc: 1
nns-nc|cs: 1
vbd|nns-nc: 1
nns-nc|vbd: 1
,|nns-nc: 1
nns-nc|hv-nc: 4
to-nc|nns-nc: 2
do-nc|to-nc: 1
at|do-nc: 1
vbz|nns-nc: 1
jjr|hvz: 3
do-nc|cs: 1
.|do-nc: 1
nn-nc|cs: 1
(|nns-nc: 1
rb|cd-nc: 1
nn-nc|jj: 1
vbd-nc|ppss-nc: 8
ppo-nc|vbd-nc: 1
wrb-nc|ppo-nc: 1
ppss-nc|wrb-nc: 1
bed-nc|ppss-nc: 2
at-nc|bed-nc: 1
cc-nc|,: 2
ppss-nc|cc-nc: 2
jj-nc|bed-nc: 1
jj|rb-nc: 1
md|jj-nc: 2
md|rb-nc: 1
pps+bez-nc|in: 2
jj-nc|pps+bez-nc: 1
wdt-nc|jj-nc: 1
dt-nc|wdt-nc: 1
md-nc|nn-nc: 1
vb-nc|md-nc: 1
jj|vb-nc: 1
vb-nc|cc: 1
hvz-nc|pps-nc: 1
ppo-nc|hvz-nc: 1
rp-nc|ppo-nc: 1
in-nc|rp-nc: 1
rp-nc|in: 1
ppss+ber-nc|in: 1
vbg-nc|ppss+ber-nc: 1
pp$-nc|in-nc: 2
in-nc|in: 6
vbz|in-nc: 1
nns-nc|pp$-nc: 3
jjr-nc|ber-nc: 2
cs-nc|jjr-nc: 1
pp$-nc|cs-nc: 1
nns$-nc|pp$-nc: 1
jj|nns$-nc: 1
cc|pp$-nc: 1
nns$-nc|cc: 1
,|nns$-nc: 1
in-nc|jjr-nc: 1
jj|nns-nc: 1
vbg-nc|pps+bez-nc: 2
ppl-nc|vbg-nc: 1
rbr-nc|ppl-nc: 1
cs-nc|rbr-nc: 1
pps+bez-nc|cs-nc: 1
ppo-nc|vbg-nc: 1
abx|ppo-nc: 1
ppl-nc|abx: 1
cc|ppl-nc: 1
ppo-nc|cc: 1
hv|ppo-nc: 1
cs|hv: 11
bez-nc|in: 1
pps-nc|bez-nc: 1
jj-nc|pps-nc: 1
cc-nc|jj-nc: 1
jj-nc|cc-nc: 1
.-nc|jj-nc: 1
at|.-nc: 2
cc|np-nc: 1
in-nc|nn-nc: 4
od-nc|nn-nc: 1
jj|od-nc: 1
vbz|np-nc: 1
np-nc|vbz: 1
cs|np-nc: 1
vbd-nc|in: 1
vbz|vbd-nc: 1
hv|rbr: 1
vbz|nn-nc: 4
vbz-nc|nn-nc: 1
nn-nc|vbz-nc: 1
at|rb-nc: 3
nns|vbz-nc: 1
rb-nc|wrb: 1
bez|hv-nc: 1
hv-nc|in: 2
ppss-nc|hv-nc: 1
vbn-nc|ppss-nc: 1
vbg-nc|vbn-nc: 2
at-nc|vbg-nc: 2
,|hv-nc: 1
hv-nc|vbz: 1
vbn-nc|hv-nc: 1
np+bez-nc|in: 1
at-nc|np+bez-nc: 2
nn-nc|in-nc: 5
np-nc|cc-nc: 1
bez-nc|np-nc: 1
rb-nc|bez-nc: 1
bez-nc|at: 1
in|bez-nc: 1
jjs|od: 3
bez-nc|vbz: 1
at-nc|bez-nc: 1
np+bez-nc|.: 1
cc-nc|,-nc: 2
np+bez-nc|cc-nc: 1
rb-nc|np+bez-nc: 1
bez-nc|dt: 1
vbn|bez-nc: 1
rb-nc|vbz: 1
abn-nc|in-nc: 1
at-nc|abn-nc: 1
wps-nc|nns-nc: 1
bed-nc|wps-nc: 1
vbn-nc|bed-nc: 1
,-nc|vbn-nc: 1
pp$-nc|,-nc: 1
bedz-nc|pp$-nc: 1
at-nc|bedz-nc: 5
jjt-nc|at-nc: 1
at|jjt-nc: 1
pp$-nc|nn: 1
vbz|pp$-nc: 1
pp$-nc|vbz: 1
vb-nc|wrb: 1
vbz|vb-nc: 2
beg|(: 1
)|np-nc: 1
nn-nc|wdt-nc: 1
dod-nc|nn-nc: 1
np-nc|dod-nc: 1
vb-nc|np-nc: 1
pps|.-nc: 1
ppl|rb: 9
in-nc|cc: 4
wdt-nc|in-nc: 1
bez|wdt-nc: 1
vb-nc|cs: 2
bez|in-nc: 3
)|vb-nc: 1
in-nc|,: 2
hvz|in-nc: 2
doz|vb-nc: 1
.|doz: 10
in-nc|rb: 1
dt-nc|in: 2
bedz-nc|dt-nc: 2
wpo-nc|nn-nc: 1
ppss-nc|wpo-nc: 1
in-nc|vbd-nc: 5
cc|in-nc: 1
to-nc|wrb: 1
vbz|to-nc: 1
in-nc|vbz: 1
in|nn-nc: 2
wps-nc|in: 2
bedz-nc|wps-nc: 2
cs-nc|nn-nc: 1
ppss-nc|cs-nc: 3
,|in-nc: 2
to-nc|vbd-nc: 1
ppo-nc|vb-nc: 4
,-nc|ppo-nc: 1
bedz-nc|ppss-nc: 1
jj-nc|bedz-nc: 1
to-nc|jj-nc: 1
at|to-nc: 1
to-nc|jj: 1
bez|to-nc: 2
to-nc|vbz: 1
.|ppo-nc: 1
to-nc|in: 1
to-nc|,: 1
ppss-nc|wrb: 1
bez|vb-nc: 2
cs-nc|nns-nc: 1
bem-nc|ppss-nc: 2
to-nc|bem-nc: 2
dt-nc|vb-nc: 1
wdt-nc|nns-nc: 1
ppss-nc|wdt-nc: 1
,|vb-nc: 1
in-nc|cs: 2
cc|vb-nc: 1
nr-nc|cc: 1
bez|nr-nc: 2
nr-nc|in-nc: 2
,|nr-nc: 1
in|in-nc: 1
md|in-nc: 1
vbg-nc|cs: 3
nn-nc|vbg-nc: 3
vbg-nc|in-nc: 4
cs-nc|in: 1
nn-nc|vb-nc: 1
cs|nn-nc: 2
vbg-nc|in: 2
.|vbg-nc: 1
bez|vbg-nc: 1
nn-nc|vbg: 1
,|vbg-nc: 1
cs|vbg-nc: 1
at-nc|in: 1
nps-nc|at-nc: 1
hv-nc|nps-nc: 1
jj-nc|hv-nc: 1
nns-nc|vbg-nc: 2
ap|nns-nc: 1
bez|nns-nc: 1
rp-nc|vbd-nc: 1
at-nc|rp-nc: 1
ppss-nc|cc: 1
rb|nn-nc: 1
vb|nn-nc: 1
--|.-hl: 13
or|vbg: 1
vbg|or: 1
jjt|bez: 7
l|in: 1
cc|l: 1
|cc: 1
cc|: 1
r|cc: 1
.|r: 1
jj-nc|,: 1
rb|jj-nc: 1
vb-nc|vb: 1
cs|vb-nc: 1
l|cs: 1
rb|l: 1
|in: 1
wrb|: 1
vb-nc|,: 1
''|cs: 10
``|): 12
dt-tl|``: 2
nn-tl|dt-tl: 6
.|': 11
abn|'': 4
ppo|jj: 9
md*|nn-tl: 7
fw-*|fw-nn: 1
fw-jj|fw-*: 1
:|vbg: 20
do|pps: 6
pps+bez|abn: 1
ber|ppl: 1
vbg|'': 15
(|hvg: 1
ppss|bedz: 10
nr|ap: 22
abn|nns-tl: 2
dts|hv: 8
np-tl|pp$: 11
rbt|cs: 1
ppss|rbt: 2
dti|pps: 1
pp$$|abn: 1
''|pp$$: 13
dod|.: 21
